var1,var2,var2_EN,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17,var18,var19,var20,var21,var22,var23,var24,var25,var26,var27,var28,var29,var30,var31,var32,var33,var34,var35,var36,var37,var38,var39,var40,var41,var42,var43,var44,var45,var46,var47,var48,var49,var50,var51,var52,var53,var54,var55,var56,var57,var58,var59,var60,var61,var62,var63,var64,var65,var66,var67,var68,var69,var70,var71,var72,var73,var74,var75,var76,var77,var78,var79,var80,var81,var82,var83,var84,var85,var86,var87,var88,var89,var90,var91,var92,var93,var94
2001,朝阳区,Chaoyang Qu,110105,,231555,99757,20822,7697,1470,6227,,3610,749,,185,,7697,7697,,,2758,1668,256,108,726,40128,178,106,,,,,,,,,,,,,,,,,,,,,,,,6100,5929,5282,82740,13986,213646,14967,14688,21772,370,4599,,,4599,,,4599,9472,3292,15593,558,3846,891,4882,1028,5183,811,1667,811,1667,,,,,10,26,,,,,5375,278,1008
2001,丰台区,Fengtai Qu,110106,,152810,72533,20568,5322,276,5046,,553,64,,152,,3347,1353,,,1411,917,111,28,355,27629,80,43,,,,,,,,,,,,,,,,,,,,,,,,1557,1444,1239,27243,7928,52849,4184,3420,4881,3517,534,,,534,,,534,6382,2268,6087,,,710,2217,1312,3337,156,193,130,179,88,336,,,,,,,,,3763,587,3942
2001,石景山区,Shijingshan Qu,110107,,16372,6388,1317,339,,339,,37,,,8,,245,,,,78,60,3,,15,662,15,3,,,,,,,,,,,,,,,,,,,,,,,,493,493,493,1827,,13771,1027,964,1844,1348,,,,,,,,235,,,,,,,,,,,,,,,,,,,,,,,235,274,421
2001,海淀区,Haidian Qu,110108,,56712,54296,13549,6847,5551,1296,,1307,376,,175,,2510,1013,,,1082,828,23,12,219,16098,73,135,,,,,,,,,,,,,,,,,,,,,,,,1082,947,774,28889,7308,47139,4541,3195,3188,1514,2530,,,2530,,,2530,4226,2269,10457,707,4787,87,305,654,3437,786,1850,760,1820,11,47,,,,,,,,,1651,1387,8557
2001,门头沟区,Mentougou Qu,110109,,94537,41430,12016,3036,,3036,190,,251,,121,,1981,304,,,490,224,34,4,228,7452,25,44,,,,,,,,,,,,,,,,,,,,,,,,2934,2167,1539,23235,102664,40059,5508,4367,4582,864,460,,,460,,,460,4173,2875,3329,2,6,187,365,1464,2209,651,244,423,168,150,287,,,5,10,,,,,745,4587,5033
2001,房山区,Fangshan Qu,110111,,482789,218453,72805,39776,805,38971,,2,528,,580,,32712,30102,,,14917,6726,1258,455,6478,30719,300,328,,,,,,,,,,,,,,,,,,,,,,,,18521,15699,7204,194380,289407,348452,66055,40894,19154,12572,2149,,,2149,,,2149,40860,28683,127213,1615,9776,12387,58978,10474,46066,2814,6724,2344,5754,896,4546,15,58,1460,4127,,,,,6269,5956,71691
2001,通州区,Tongzhou Qu,110112,,407562,184207,81371,48721,5481,43240,52,512,1515,,355,,37591,30775,,,31551,17094,1974,1091,11392,37703,424,593,,,,,,,,,,,,,,,,,,,,,,,,22971,21123,10196,247625,105230,493044,59936,41292,26664,12411,11455,,,11455,,,114555,58281,31499,165388,2713,16820,13760,75505,10643,60361,3835,9320,3675,9085,522,3282,1684,1961,876,1047,,,,,21250,4189,43329
2001,顺义区,Shi Shunyi Qu,110113,,416992,183683,58865,40068,914,39154,167,7087,1844,,527,,43985,32312,,,25813,13613,1027,697,10477,34087,582,434,,,,,,,,,,,,,,,,,,,,,,,,47499,46030,12304,899858,175619,1551779,211580,126137,42872,21819,16212,,,16212,,,16212,60813,31856,160088,271,1793,12220,66401,15495,81603,3486,8549,3443,8432,141,898,362,626,1051,4044,,,,,22950,6671,48858
2001,昌平区,Changping Qu,110114,,265840,121460,46005,22323,2381,19942,,1630,886,,212,,16587,14935,,,6700,4455,594,121,1530,27380,67,356,,,,,,,,,,,,,,,,,,,,,,,,15629,11668,6824,95801,107955,222819,36602,18682,20684,6042,7116,,,7116,,,7116,23683,17429,68882,364,2036,6041,23327,9088,39001,1536,3486,1329,3186,62,420,21,47,53,194,,,,,3366,11622,53362
2001,大兴区,Daxing Xian,110115,,383861,196153,109509,46010,2196,43814,336,5262,364,,528,,45252,40308,,,30528,20087,1573,834,8034,31715,1773,942,,,,,,,,,,,,,,,,,,,,,,,,27136,25394,19185,298568,217512,504285,83409,41707,66512,32503,4247,,,4247,,,4247,75067,32507,171310,109,709,13567,70381,13909,75402,2219,6000,2087,5740,2674,18669,369,368,4660,15486,,,,,35844,7940,97532
