var1,var2,var2_EN,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17,var18,var19,var20,var21,var22,var23,var24,var25,var26,var27,var28,var29,var30,var31,var32,var33,var34,var35,var36,var37,var38,var39,var40,var41,var42,var43,var44,var45,var46,var47,var48,var49,var50,var51,var52,var53,var54,var55,var56,var57,var58,var59,var60,var61,var62,var63,var64,var65,var66,var67,var68,var69,var70,var71,var72,var73,var74,var75,var76,var77,var78,var79,var80,var81,var82,var83,var84,var85,var86,var87,var88,var89,var90,var91,var92,var93,var94
2001,平谷区,Pinggu Xian,110117,,311095,150660,78828,14571,7,14564,11,4425,1199,,322,,13933,13125,,,15477,8524,419,250,6284,19476,243,722,,,,,,,,,,,,,,,,,,,,,,,,12198,8618,693,199671,85915,294321,39052,22772,2617,24115,14523,,,14523,,,14523,24710,13343,62358,,2,5123,24712,5963,32099,1412,2795,1255,2618,404,1782,481,362,382,813,,,,,9624,16883,157929
2001,怀柔区,Huairou Xian,110116,,183774,80357,36030,14937,660,14277,,,890,,207,,10826,9468,,,7254,4813,748,180,1513,17297,84,318,,,,,,,,,,,,,,,,,,,,,,,,25596,20776,8521,97317,49141,199218,28982,16908,27301,5041,2571,,,2571,,,2571,17162,12323,62525,161,1106,3340,16964,5870,35934,2055,4885,1623,4222,228,1238,5,9,1384,4812,,,,,1583,4655,34113
2001,密云县,Miyun Xian,110228,,320660,151533,74797,18804,63,18741,193,4818,10267,,337,,13404,2539,,,8766,4956,858,834,2118,11746,137,203,,,,,,,,,,,,,,,,,,,,,,,,38634,27715,13920,191810,207786,350003,63056,30491,28464,20053,5000,,,5000,,,5000,25439,13560,61608,10,71,3904,17286,5899,33887,1569,3292,1227,2687,485,2004,2,2,4080,11988,,,,,3575,15961,47676
2001,延庆县,Yanqing Xian,110229,,209257,92532,52261,32104,631,31473,,769,3229,,239,,12923,5646,,,9956,6280,697,166,2813,7167,385,246,,,,,,,,,,,,,,,,,,,,,,,,26063,16324,10082,66372,80595,161692,27864,16813,29699,12620,2915,,,2915,,,2915,35190,21865,147979,315,2128,522,2676,18267,135915,1189,2512,932,2127,190,1034,,,84,129,,,,,13026,3999,42108
2001,塘沽区,Tanggu Qu,120107,460000,80000,23912,8407,77505,15693,61812,,,2029,1794,224400,39700,5160,5160,,,1581,,,,,5042,238,74,340190,36306,6859,84386,276306,63884,40923,0.51,74902,58117,,,,,,29305,94305,43964,30626,9155,139,4949,16386,668,615,18,28640,7234,48585,4659,3855,60,856,18846,14972,12736,3874,3874,8436,3292,5188,2326,5911,492,1577,7,30,384,1142,1327,2232,1327,2232,7,42,732,1575,45,66,5,11,,,2006,,
2001,汉沽区,Hangu Qu,120108,168000,54000,23738,13456,4255,610,3645,,,962,1164,162700,2860,2400,2400,,,1784,,,,,18669,121,112,273384,56854,17859,157009,236081,37303,26983,0.48,11096,17554,,,,,,17633,57767,18653,61315,18334,42,6985,35954,983,944,788,19064,2092,37311,4568,2986,581,4385,26777,15128,11205,11649,10446,4339,9521,1903,986,5603,524,4084,13,50,181,686,207,613,207,613,,,386,519,29,44,,,,,483,,
2001,大港区,Dagang Qu,120109,385000,102000,35706,15965,13516,,13516,,,2383,1302,278200,12920,10620,5000,,,1751,,,,,12287,38,85,647105,18852,8247,400303,574022,73083,52306,0.51,35322,44605,,,,,,46221,143643,55551,22442,7749,99,10070,4524,5508,1979,1597,20518,565657,38302,5027,4139,422,5002,6329,1607,1109,4722,3416,695,3349,142452,12780,18639,,,3257,5849,2839,5768,5274,4648,5227,4631,8,27,,,682,402,,,,,593,,
2001,东丽区,Dongli Qu,120110,306000,215000,81688,18421,13945,4065,9880,,,38858,,482800,8800,13950,13950,,,2686,,,,,22862,652,101,1293410,55197,28467,603618,204948,2399,68929,0.41,,,,,,,,99063,312237,84448,66115,37970,287,16402,11456,3149,3149,1303,45533,25330,99447,10937,9395,4980,16411,,,,16411,16170,,15868,14313,7000,37097,2239,19193,,,1200,5492,1989,4080,1989,4080,,,,,243,393,,,,,5907,,
2001,西青区,Xiqing Qu,120111,319000,242000,107248,37757,16171,1981,14190,,,4735,,479900,1620,15880,15880,,,11926,,,,,53712,1504,205,1556175,90903,47183,996497,1327553,228622,141418,0.59,110543,60044,,,,,,122090,607213,305478,104167,58179,508,19721,25759,1720,1135,657,60471,14244,91306,20851,7607,1896,77241,39392,,,39392,39392,,38095,23792,9829,42034,1710,11040,2533,11040,3622,15663,1704,3112,,,,,559,1710,1399,3147,,,,,12005,,
2001,津南区,Jinnan Qu,120112,370000,290000,137166,36714,14556,3665,10891,,,1955,,377800,14300,13720,13190,,,1734,,,,,27066,442,88,1200084,36512,20068,760122,990550,209534,150987,0.52,51234,26005,,,,,,131583,350343,116528,42444,23867,415,9359,8767,3947,2558,458,20335,26340,46626,7583,4683,2155,4482,10982,,,10982,10797,,9671,14388,9368,39683,1603,34968,,,3083,14735,2680,4715,2680,4715,,,,,,,,,,,4970,,
2001,北辰区,Beichen Qu,120113,317000,216000,80527,29939,18503,242,18260,,,1843,,483000,17750,14540,8230,,,6246,,,,,25133,1006,337,2267444,78344,40748,553074,1984570,282748,128231,0.59,100569,48679,,,,,,123973,715318,294074,97504,42389,477,44091,10547,17540,15161,11701,51990,50500,115018,22221,5248,39516,,11746,50,50,11746,11679,17,11275,23408,11803,43612,160,845,1838,5353,6056,28557,2972,5041,2948,5006,,,1052,1092,1544,2663,,,,,8704,,
2001,宁河县,Ninghe Xian,120221,357000,283000,112944,64738,39451,9100,30351,,,2606,133,512100,38670,35910,22830,,,15086,,,,,14250,1312,271,,1005537,157334,76801,853987,151550,132530,0.47,35718,27927,,,,,,90883,341800,164940,173417,107415,2402,46031,17569,24294,18066,10230,188030,42927,333931,28689,25430,22125,18875,15528,74,40,15454,15454,25,14089,42968,11703,57465,1175,8965,443,1192,5247,32307,4063,10609,3921,10281,,,15827,20925,1532,2577,7,16,,,13899,,
2001,武清县,Tianjin Shi Wuqing Xian,120114,802000,697000,363210,201751,91474,301,91173,,,76393,,995500,89440,74060,70570,,,42317,,,,,82659,35,386,1306401,274733,199338,833334,945386,361015,318462,0.46,85222,53562,,,,,,144253,365361,233167,368302,222747,2595,125956,17004,76291,59685,20879,202031,188941,537474,86510,61336,67401,58251,35113,,,35113,34310,,34260,142675,80204,441881,675,3868,34391,159072,39554,264347,3812,7232,3461,6630,405,2170,9780,11077,5313,12145,9780,11077,,,44955,,
2001,静海县,Jinghai Xian,120223,505000,426000,155145,74813,69224,,69224,,,2216,,671000,62660,55700,24700,,,21860,,,,,65569,1169,285,1706078,112567,77697,1465539,1441035,265043,179096,0.42,34009,29626,,,,,,132517,405492,163720,186165,119120,3450,49749,13846,30711,11106,5964,93974,118610,157695,36874,17736,29889,19187,20325,,,20325,20113,,19973,80666,58038,176231,,,14537,32001,22725,100962,14373,21458,12450,19678,283,1303,4759,5327,6407,9495,,,,,10821,,
2001,宝坻县,Baodi Xian,120115,650000,558000,254278,138102,77163,788,76375,,,3202,,588400,72620,65040,40350,,,32684,,,,,21197,1405,384,1025900,243310,155338,642727,753005,272895,243270,0.44,33136,36336,,,,,,147552,347270,197339,233681,116989,914,99253,16705,66427,47370,1354,488893,134999,897724,77700,72641,1628,,26790,,,26790,24125,,24083,104454,70232,315569,788,5093,27035,123742,29576,153757,8306,17861,8109,17552,576,2345,9441,15259,2179,4165,74,193,,,22361,,
2001,蓟县,Ji Xian,120225,505000,426000,155145,74813,69224,,69224,,,2017,,663600,46670,42470,36740,,,32643,,,,,26251,764,784,1181106,256272,127646,600558,857768,323338,308158,0.44,54000,32600,,,,,,149588,286517,71787,286586,127713,3298,142102,13473,105233,91745,573,609048,152622,1058196,109301,89861,840,65312,20487,,,20487,13671,,13395,72700,52171,325260,1686,12199,22478,132669,25979,173407,991,2199,815,1916,555,3132,1103,3882,1051,3829,,,,,16795,,
2001,市辖区,Shijiazhuang Shi Shixiaqu,130101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,裕华区,Yuhua Qu,130108,1950048,387165,225593,51236,17801,,17801,,231,147,,479800,14970,17386,16592,2670,1753,17370,9766,3420,618,3566,48938,240,853,2446367,143130,74415,1199934,1846650,599717,193667,0.16,133681,131379,16030,118,592,,,148963,744627,216347,81826,35320,556,45434,516,43600,42500,13700,259100,25500,391900,46139,37479,34243,32592,1146,0,0,1146,1146,0,986,32574,21507,145601,4,17,9961,64464,10282,76908,676,2082,539,1944,511,1940,88,77,685,2331,13,13,,,9774,2159,21120
2001,井陉矿区,Shijiazhuang Shi Jingxingkuangqu,130107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,井陉县,Jingxing Xian,130121,325711,287967,160044,76039,23999,,23999,,1,142,,370100,11300,11351,8633,26497,20571,9134,5700,2860,,574,9187,36,204,665825,53553,20349,419372,583239,82586,73291,0.27,17126,17120,9210,27,519,,,43581,183022,48982,38014,14824,3096,19916,178,87900,77000,42400,159100,153300,168100,24799,20517,2073,15205,276,0,0,276,266,0,276,28698,24418,84110,86,345,10185,44006,8582,31109,2050,1886,969,1259,1415,4199,77,22,1697,2246,,,,,2237,4760,13920
2001,正定县,Zhengding Xian,130123,437253,378735,224146,72745,27303,,27303,,,249,,1450200,26720,27303,27303,,,41477,23857,5381,1608,10631,11762,200,428,820869,232547,139756,440458,604384,216485,133267,0.36,24641,24528,35424,201,5748,,,75744,198870,80702,162411,76824,599,83745,1243,108100,105300,24600,374300,31800,681300,78526,63760,34159,98002,1812,0,0,1812,1812,0,1718,54804,39224,301009,,,19773,148574,16102,137047,2595,9531,2595,9531,747,5807,165,131,7182,27372,,,,,7982,4393,20395
2001,栾城县,Luancheng Xian,130124,319829,296617,169978,106026,28314,,28314,,105,14,,578500,17180,27740,27740,,,15060,9402,3189,333,2136,8108,77,336,688216,123459,65520,512377,292839,98577,98788,0.33,14837,14700,28495,252,842,,,32315,85309,21346,132335,65084,733,66444,74,55700,54200,21900,215600,44600,425000,57982,40686,40200,61700,150,0,0,150,150,0,145,51322,34148,254002,,,16867,116382,14426,126707,1895,6314,1655,5580,496,2345,333,240,1035,3839,,,,,12949,533,6980
2001,行唐县,Xingtang Xian,130125,410571,377702,192400,102544,36914,350,36564,,6,591,,698200,20500,27832,25951,24408,12000,21409,14945,860,171,5433,9963,130,544,350088,182408,123329,113650,219730,130358,93762,0.25,13076,13076,27818,816,7836,,,44896,142518,62284,68461,30473,1151,36368,469,99300,75500,43600,323500,127800,362400,35580,30507,66767,28006,1003,0,0,1003,845,0,934,56656,42962,276370,91,379,17320,103920,17099,136745,662,2147,622,2084,6978,31089,670,480,9296,29634,,,,,2928,29820,47685
2001,灵寿县,Lingshou Xian,130126,311608,272316,141008,94348,26100,89,26011,,,2128,,232700,15330,18980,12144,6773,5069,17952,12157,3367,297,2131,16000,26,247,267650,55049,31198,166113,196439,71211,64954,0.24,13565,12438,11374,107,1428,,,34480,112028,34248,46896,20930,4431,20149,1386,104000,95000,26200,193300,158100,277800,32369,27056,5411,11158,2000,0,0,2000,1200,0,1661,37554,31112,136299,38,153,12104,57190,12555,56304,173,270,144,218,5573,21403,203,82,2976,5864,,,,,2524,5953,24900
2001,高邑县,Gaoyi Xian,130127,175645,157178,87287,48330,16673,,16673,,,2,,276200,16250,15970,11640,5100,1200,10193,4297,891,256,4749,7191,60,316,251301,102017,74450,125840,200789,50512,46074,0.31,8149,8146,9975,521,2181,,,37612,73405,25255,60220,42558,306,17345,11,5000,5000,1100,120000,36000,172200,17253,13418,1200,20500,23,0,0,23,23,0,23,30378,17562,104693,,,8333,51875,7740,47588,1126,3371,1079,3258,137,1030,257,289,2579,8708,,,,,8767,2640,7100
2001,深泽县,Shenze Xian,130128,249285,221701,126539,69872,20280,,20280,,,20,,627700,20000,20280,20280,11118,5867,13302,7519,2111,344,3328,8846,12,127,246759,77963,56517,116788,173756,73003,67957,0.31,8868,8868,17069,1049,2381,,,25398,68884,21029,49237,32909,247,16010,71,9300,3600,2100,128400,64300,157000,14019,12221,1331,19303,166,0,0,166,166,0,161,34312,26009,164704,7,38,12509,83841,10000,64443,1511,4849,1376,4540,1029,8286,452,437,2244,7945,,,,,5391,3740,27235
2001,赞皇县,Zanhuang Xian,130129,230370,210798,119237,60176,18814,,18814,25,22,356,,289700,11250,9630,2700,20955,12039,8763,2571,1383,,4809,6481,117,167,61969,32707,21970,4624,30659,31310,30298,0.18,12742,10057,7072,42,1507,,,23892,37353,11148,38234,25595,2628,9916,95,76500,75000,35000,102000,40000,120000,18268,16357,520,4500,222,0,0,222,170,0,210,28627,21029,83380,,,8667,34840,7000,34624,1293,1460,1034,1208,2792,9401,138,35,5139,7309,8,6,,,1627,21487,35160
2001,无极县,Wuji Xian,130130,483770,446330,252274,120826,35303,,35303,,,20,,731700,33780,35303,35303,2000,1833,28074,18330,5304,956,3484,16080,118,544,389424,109594,81590,184729,240096,149328,143456,0.33,14339,14339,35183,420,4447,,,64229,136624,46630,101050,51559,133,49288,70,133000,106000,39900,282000,174000,431000,62228,54978,9449,47741,160,0,0,160,160,0,146,62290,49106,362212,,,25667,192503,18335,148516,1401,5250,1401,5250,1975,9810,320,240,4597,19940,,,,,8267,3880,45930
2001,平山县,Pingshan Xian,130131,452689,421099,208608,139487,30217,,30217,,6,6290,,444400,10670,16780,13500,12791,3220,13810,9372,3603,5,830,5589,150,300,337409,109835,57630,81315,268979,68430,78310,0.2,25175,25175,18822,668,1603,,,42671,112588,37319,92980,33799,10699,37092,11390,213600,206000,73000,202000,90000,402000,59823,55166,5040,18020,10450,0,0,10450,7450,0,8600,44967,36018,187180,772,3748,16335,98500,13357,73266,983,1878,638,1130,2697,7296,667,456,4234,7355,12,10,,,2625,6113,36800
2001,元氏县,Yuanshi Xian,130132,386788,359214,218160,131760,35940,,35940,,,218,,489800,30040,25860,15450,8488,2187,27570,14360,6700,860,5650,6809,392,489,378700,96803,51099,130962,269550,109150,99237,0.28,13028,13015,22251,1501,3041,,,57157,103547,37574,83728,37031,1800,44632,265,76400,75300,22000,235000,159500,403200,43507,37101,11000,40600,520,0,0,520,498,0,510,53877,42568,244269,,,19480,117460,16000,92800,1074,3127,940,2848,4067,25012,1067,1120,4178,10057,,,,,6014,4907,21100
2001,赵县,Zhao Xian,130133,550441,512883,292789,131767,51508,,51508,20,15,18,,2309700,51580,51508,51508,16667,16667,60942,32642,9231,6454,12615,27593,88,1914,484799,193586,156419,189378,312567,172142,153230,0.3,13606,13585,40607,2192,4753,,,53508,158116,55709,140418,104837,111,35075,395,90300,79800,20700,249300,94000,299000,36093,28700,4020,38610,115,0,0,115,115,0,92,78920,60289,437731,,,31191,237841,21269,163620,3458,13035,3315,12545,1088,7159,1337,1337,3829,15842,,,,,12638,12220,269800
2001,辛集市,Xinji Shi,130181,618784,546672,324656,121157,69740,,69740,,109,57,,2311000,69740,69740,68164,25707,9947,60598,38202,12890,3106,6400,23886,521,2721,1049275,280734,195328,463265,854816,194459,169312,0.32,32597,32579,54827,10619,21779,,,123274,332361,118852,233732,138813,565,94042,312,88100,57200,28800,399100,360900,560000,74135,52005,6137,120892,402,0,0,402,402,0,395,114745,84511,549554,,,41384,280452,28627,200200,6831,28252,6754,28026,930,7586,7718,7585,9963,40195,,,,,12007,7220,118280
2001,藁城市,Gaocheng Shi,130182,746321,690869,409397,96342,54903,,54903,,,27,,2074800,45000,54903,54903,7924,4693,57878,31104,11038,3875,11861,41141,279,684,1578627,416649,261004,908355,1284857,293770,244660,0.37,34685,34489,56706,288,4518,,,134535,350166,133059,255453,125057,232,130056,108,157900,126900,59500,604100,204000,874200,115119,102083,54914,144356,260,0,0,260,260,0,260,104911,66844,511751,,,33809,248496,29654,244698,2037,8146,2035,8139,1276,10115,220,226,3656,14815,,,,,33618,4813,145035
2001,晋州市,Jinzhou Shi,130183,510606,473705,275585,122148,40638,,40638,,43,23,,1207800,40700,40638,40638,4607,3786,31583,20130,3301,221,7931,34454,38,981,893263,194158,126350,518430,700283,192980,171931,0.37,19706,19702,46589,640,4039,,,82204,211256,61837,119638,67181,83,52242,132,120900,100700,10300,328600,323200,464900,51502,43986,8910,47300,290,0,0,290,290,0,290,71677,61442,393490,,,28915,189538,23311,160460,4374,16304,4115,15697,1660,9369,553,457,4003,11872,,,,,5606,7447,222630
2001,新乐市,Xinle Shi,130184,442057,402932,203841,49583,28006,,28006,,,60,,1641000,27940,28006,28006,5100,3800,32469,21300,4545,4044,2580,19300,410,804,700311,195806,95824,371481,529675,170636,146024,0.26,16271,16113,28340,433,11396,,,98210,122013,45716,117618,55950,531,60889,248,92000,65000,14000,346500,81100,686800,84761,69420,21900,52000,500,0,0,500,500,0,497,56421,36439,282262,,,17109,113948,16932,148467,714,3203,681,3103,1677,16615,354,336,9314,45584,,,,,10281,2360,30030
2001,鹿泉市,Luquan Shi,130185,357654,308624,163222,74374,27997,,27997,,51,1662,,603700,17400,23614,23614,2082,1031,14707,9832,1377,434,3064,65287,55,361,1321571,140064,78485,999049,1096480,225091,111125,0.4,28826,28774,20116,225,1380,,,83680,325511,131823,94463,54187,820,37115,2341,15500,14600,8000,209100,31900,549400,49000,42570,23863,25039,4262,0,0,4262,3110,0,4198,46524,34680,197770,30,221,16630,95984,15491,92765,1122,3621,970,3346,841,4098,119,151,2037,6422,,,,,9510,2787,29760
2001,市辖区,Zhangjiakou Shi Shixiaqu,130701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,桥东区, Qiaodong QU,130702,253238,41986,22937,7577,2409,,2409,,14,,,34459,1000,1887,1073,1763,1359,334,210,33,8,83,2268,41,57,140716,8116,6294,76612,125524,15192,11407,0.61,,,,,,,,,,,,,,,,1900,1400,1300,6200,7100,11200,1060,960,2969,1052,,,,,,,,3080,1270,4018,13,,,,980,3791,86,62,73,62,70,132,,,57,16,,,,,1609,405,77
2001,桥西区,Qiaoxi QU,130703,229259,36131,20775,9818,3035,,3035,,,,,39503,1500,2213,1150,2093,1769,679,423,64,33,159,769,41,29,95641,5007,2946,20565,85627,10014,9320,0.22,,,,,,,,7306,27289,,4609,2835,95,1679,,2700,1900,1600,10000,14900,1210,2025,1431,3,2106,,,,,,,,3816,1785,4525,,,351,1350,857,2946,120,29,83,27,194,161,,,250,28,,,,,1677,422,208
2001,宣化区, Xuanhua QU,130705,291820,53764,31293,17685,6916,59,6857,,,,,16985,3327,3419,3165,5214,5028,995,451,259,34,251,614,57,108,162706,9345,7489,39244,148721,13985,14453,0.27,,,,,,,,12086,46676,,8320,5010,140,2975,195,3700,1800,1400,12200,15500,28600,2851,2355,3035,3035,430,,,430,430,,430,6428,3629,9765,186,1361,99,437,1712,6870,305,110,297,110,387,562,,,308,97,,,,,2484,7619,705
2001,下花园区,Xiahuayuan QU,130706,69476,30015,16517,8477,6916,59,6857,,,,,16985,3327,821,821,6311,6308,497,291,132,8,66,614,13,14,62022,2825,1536,13574,50052,3970,3655,0.12,,,,,,,,4307,13978,,3700,1452,304,1944,,5400,500,300,5600,24000,16400,1909,1635,642,2199,,,,,,,,6370,5158,2854,77,230,8,14,973,1582,492,75,383,62,358,202,,,692,37,,,,,463,699,1124
2001,宣化县,Xunhua Xian,130721,300014,268490,149495,95398,53246,369,52877,,,,,152849,28000,27978,14524,42348,38816,5536,3624,1524,106,282,3993,94,70,291143,43364,20873,170799,237854,53289,1760,,,,,,,,,24124,74140,,31917,11203,1331,19167,216,40000,13200,4100,104800,217800,179700,23227,19750,5652,15449,506,,,506,506,,506,44734,37571,66106,109,581,40,201,15486,54217,2657,678,2539,656,7293,5702,,,3080,2519,,,,,3588,18815,12864
2001,张北县,Zhangbei Xian,130722,371577,331491,194359,12843,139676,,139676,,2124,,,99365,122900,20200,8959,129981,125521,4452,1344,712,589,1807,1645,385,100,119134,41630,19466,40315,85208,33926,37932,0.12,,,,,,,,22458,35907,,33791,16812,819,15562,598,103300,71800,1400,119700,160200,192200,26883,24497,25902,3892,1450,,,1450,1450,,1450,129981,48577,17334,,,9849,529,,,6964,290,1470,26,22410,15619,,,10042,904,,,7821,88462,7453,1057,349
2001,康保县,Kangbao Xian ,130723,282574,256744,146183,106189,117569,,117569,,,,,99365,88455,12196,2600,108876,102209,2704,508,237,86,1873,1001,128,92,76432,31163,9213,17247,51961,24471,26763,0.11,,,,,,,,16932,19942,,21864,9213,1134,11486,31,53600,40400,2500,129600,169700,149500,19566,17092,2705,5700,75,,,75,75,,75,108876,66252,14409,,,18034,1673,,,14722,1445,1725,162,16262,10127,,,15705,1955,,,700,9021,4514,4566,117
2001,沽源县,Guyuan Xian,130724,229842,197982,117598,85134,103604,,103604,,2943,,,91206,76667,15873,4234,90857,88901,3159,919,450,100,1690,1306,179,84,34977,24826,13719,1773,19278,15699,18367,0.047,,,,,,,,11783,12254,,20198,8433,867,9673,1225,54400,38600,13400,71100,295700,94000,20192,16614,15224,2472,2506,,,2506,2506,,2506,97587,27800,6796,4667,925,2333,724,,,1600,111,,,11400,3532,,,2967,110,,,303,,4733,700,110
2001,尚义县,Shangyi Xian,130725,191147,168390,101710,69796,76715,,76715,,335,,,58517,4033,10990,3000,45083,40640,2856,1049,264,123,1420,766,74,60,67870,19530,9169,13973,56455,11415,15148,0.092,,,,,,,,18031,12115,,16824,9716,767,6308,33,49800,30100,500,79200,128200,113200,12053,11000,780,2482,80,,,80,80,,80,45083,32056,7000,,,5661,491,2591,830,3428,335,1482,181,5876,3486,,,3296,151,,,83,1055,4443,2400,1686
2001,蔚县,Wei Xian,130726,461135,415011,179657,118943,94639,1301,93338,,54,,,136748,42667,30448,18040,77005,76353,7350,4679,1449,393,829,3280,458,174,241338,23954,13239,100483,199634,41704,38535,0.093,,,,,,,,31672,68091,,26974,8885,1837,16025,227,80200,2700,700,120000,326000,170000,23003,18820,906,14030,550,,,550,550,,550,77818,61010,24536,731,1994,387,167,14920,12229,6843,704,3575,238,10449,3999,,,5986,471,41,14,,,5645,18908,12914
2001,阳原县,Yangyuan Xian,130727,275436,246537,114162,75061,59223,96,59127,,23,,,95306,20000,24809,15088,22188,22008,5260,3418,902,78,862,1929,186,94,164424,19004,13352,58811,141386,23038,20813,0.087,,,,,,,,31672,68094,,15651,5775,552,9175,149,36000,11900,200,60200,193400,70500,11569,8557,80,8100,420,,,420,420,,420,22188,17802,14239,77,147,9,,7021,11251,2563,225,1009,56,2615,1673,,,1685,266,,,,,1962,6437,20952
2001,怀安县,Huai`an Xian,130728,245731,209531,111434,75120,42464,801,41663,,7,,,71655,20000,18691,7099,35161,34237,6983,4680,1298,129,876,1918,172,289,134940,24777,15245,54454,105776,29163,27035,0.15,,,,,,,,27472,32778,,14972,5559,737,8577,99,32100,4400,600,70000,128000,124000,12846,11415,1463,3320,240,,,240,240,,240,35747,27920,29333,714,3537,,,7478,15573,3423,1589,2333,332,12054,7530,,,2713,379,,,2,6,4636,9650,14520
