var1,var2,var2_EN,var3,countyname_2004,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17,var18,var19,var20,var21,var22,var23,var24,var25,var26,var27,var28,var29,var30,var31,var32,var33,var34,var35,var36,var37,var38,var39,var40,var41,var42,var43,var44,var45,var46,var47,var48,var49,var50,var51,var52,var53,var54,var55,var56,var57,var58,var59,var60,var61,var62,var63,var64,var65,var66,var67,var68,var69,var70,var71,var72,var73,var74,var75,var76,var77,var78,var79,var80,var81,var82,var83,var84,var85,var86,var87,var88,var89,var90,var91,var92,var93,var94
2004,朝阳区,Chaoyang Qu,110105,北京市朝阳区,1657000,233000,108206,18772,5491,1061,4369,0,0,575,0,80160,2136,5491,5491,0,0,1307,726,150,63,368,46620,68,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4567,4524,4474,5783,10717,50655,3833,3730,19550,27,239,0,0,239,0,0,0,5121,734,3398,0,0,131,690,433,2329,170,379,170,379,0,0,30,22,3,7,0,0,0,0,3805,525,2660
2004,丰台区,Fengtai Qu,110106,丰台区,932000,147000,73859,17838,3858,0,0,0,0,43,0,87252,2707,1770,874,0,0,856,379,98,10,369,51496,38,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1071,1035,1011,6818,3288,22674,1778,1698,3643,342,72,0,0,72,0,0,0,2969,785,2392,0,0,51,212,674,2039,30,68,30,68,30,73,0,0,0,0,0,0,0,0,1604,734,3039
2004,石景山区,Shijingshan Qu,110107,石景山区,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,海淀区,Haidian Qu,110108,海淀区,1841000,169000,74302,17415,3199,539,2660,0,0,107,0,174207,5596,2301,1602,0,0,1277,377,64,40,796,25047,132,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4338,4310,797,12435,5516,21373,2534,2294,2525,1827,78,0,0,78,0,0,0,2903,1436,6250,298,1908,111,389,543,2863,438,975,436,973,35,78,0,0,27,56,0,0,0,0,873,1641,6611
2004,门头沟区,Mentougou Qu,110109,门头沟区,237000,87000,39856,10301,1557,0,1557,0,0,303,0,92280,749,1422,181,0,0,327,86,34,7,200,7522,17,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2384,1698,1796,12260,42330,25824,4954,3214,8398,932,23,0,0,23,0,0,0,3199,2141,2931,2,4,23,53,875,1635,829,532,570,434,126,435,0,0,12,18,0,0,0,0,624,4829,4506
2004,房山区,Fangshan Qu,110111,房山区,752000,471000,225578,63961,28416,739,27320,0,0,484,0,565130,19306,19850,18118,0,0,12692,5799,2274,680,3939,39668,243,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17338,15871,8972,197712,255161,378298,60652,36464,26999,9618,225,0,0,225,0,0,0,34435,23354,97921,130,801,7259,33294,12194,55642,2988,5429,2422,4521,633,2583,1623,1802,1203,2664,0,0,0,0,6107,6104,83388
2004,通州区,Tongzhou Qu,110112,通州区,620000,456000,212490,69444,36672,4184,32488,0,0,1654,0,288147,23512,35818,30731,0,0,26266,14641,2196,1520,7909,44745,384,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24956,24083,13024,233563,130692,529079,54713,44587,53621,12839,1259,0,0,1259,0,0,0,51315,26961,143214,169,1049,11309,61847,14105,76953,1321,3058,1320,3056,45,302,1415,1746,142,492,0,0,0,0,18720,3981,57047
2004,顺义区,Shi Shunyi Qu,110113,顺义区,554000,413000,196475,52381,33502,419,33083,0,0,1168,0,492424,24501,31510,31028,0,0,22533,10610,934,528,10461,40367,655,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52382,51800,16235,964800,215613,1632912,209924,136699,73893,15617,1214,0,0,1214,0,0,0,50569,19894,96064,11,80,5763,29603,12050,60662,2030,5513,2028,5511,40,205,1882,2689,365,1269,0,0,0,0,19876,5634,68664
2004,昌平区,Changping Qu,110114,昌平区,496000,270000,127296,44515,12847,548,12298,0,0,459,0,112247,9234,9232,7393,0,0,4794,3047,430,139,1178,34142,292,991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10249,8541,5334,59940,101192,115912,25009,14636,18369,42721,548,0,0,548,0,0,0,14989,9014,31659,143,844,1224,5307,6414,23458,1031,1639,852,1483,33,135,208,299,29,64,0,0,0,0,2752,6678,52326
2004,大兴区,Daxing Xian,110115,大兴区,557000,366000,194009,75425,38576,135,38440,0,0,278,0,486909,35910,37560,36230,0,0,33832,20502,2578,1383,9369,34178,2140,1398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32362,31583,22356,352517,410898,665033,118136,62671,124604,38566,346,0,0,346,0,0,0,63689,23182,130165,0,0,9673,52515,10316,59555,940,2481,827,2259,2245,15580,292,317,3574,12115,0,0,0,0,34396,7870,114679
