var1,var2,var2_EN,var3,countyname_2002,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17,var18,var19,var20,var21,var22,var23,var24,var25,var26,var27,var28,var29,var30,var31,var32,var33,var34,var35,var36,var37,var38,var39,var40,var41,var42,var43,var44,var45,var46,var47,var48,var49,var50,var51,var52,var53,var54,var55,var56,var57,var58,var59,var60,var61,var62,var63,var64,var65,var66,var67,var68,var69,var70,var71,var72,var73,var74,var75,var76,var77,var78,var79,var80,var81,var82,var83,var84,var85,var86,var87,var88,var89,var90,var91,var92,var93,var94
2002,通州区,Tongzhou Qu,110112,通州区,401620,401620,189200,77547,38596.00,1661.00,36935.00,3.00,2154.00,1335.00,0.00,340712.00,40339.00,40339.00,32368.000,0.00,0.00,29796.00,16123.00,1870.00,901.00,10902.00,39363.00,435.00,794.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24070.00,23048.00,10827.00,263629.00,119997.00,506294.00,62833.00,43681.00,32145.00,13069.00,11610.00,0.00,0.00,11610.00,0.00,0.00,11610.00,56209.00,25870.00,135430.00,2290.00,14481.00,9628.00,54026.00,10294.00,56165.00,3195.00,7696.00,3176.00,7652.00,346.00,2680.00,2080.00,2492.00,983.00,3407.00,0.00,0.00,0.00,0.00,24194.00,4755.00,48722.00
2002,顺义区,Shi Shunyi Qu,110113,顺义区,409665,409665,184434,55565,36690.00,167.00,36523.00,57.00,1806.00,1844.00,0.00,548227.00,40237.00,40237.00,39716.000,0.00,0.00,23831.00,12280.00,1364.00,613.00,9574.00,34500.00,379.00,447.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55805.00,54602.00,15841.00,981752.00,171961.00,1674278.00,242538.00,149680.00,68621.00,21095.00,16362.00,0.00,0.00,16362.00,0.00,0.00,16362.00,52361.00,23610.00,125610.00,189.00,1312.00,7811.00,43132.00,13282.00,72954.00,1798.00,4455.00,1736.00,4317.00,324.00,3023.00,211.00,191.00,460.00,1928.00,0.00,0.00,0.00,0.00,23565.00,6503.00,57187.00
2002,昌平区,Changping Qu,110114,昌平区,267742,267742,121301,42525,18024.00,155.00,17869.00,72.00,4371.00,492.00,0.00,146412.00,14402.00,14402.00,12524.000,0.00,0.00,4795.00,3092.00,381.00,113.00,1209.00,26651.00,107.00,391.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12501.00,10028.00,6158.00,79135.00,134630.00,207796.00,37594.00,21749.00,20736.00,4403.00,7067.00,0.00,0.00,7067.00,0.00,0.00,7067.00,17628.00,11434.00,48889.00,259.00,1468.00,2780.00,11883.00,7129.00,32685.00,944.00,1982.00,741.00,1722.00,62.00,526.00,25.00,40.00,41.00,141.00,0.00,0.00,0.00,0.00,3274.00,6819.00,55199.00
2002,大兴区,Daxing Xian,110115,大兴区,375077,375077,193677,94356,42190.00,159.00,42031.00,83.00,1791.00,311.00,0.00,495783.00,41838.00,41838.00,41352.000,0.00,0.00,34165.00,20119.00,3190.00,1811.00,9045.00,37721.00,2077.00,1038.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37787.00,36431.00,23121.00,339653.00,375084.00,615915.00,114050.00,53948.00,99726.00,34345.00,3729.00,0.00,0.00,3729.00,0.00,0.00,3729.00,68523.00,25221.00,138333.00,5.00,29.00,9952.00,52761.00,10651.00,60920.00,1841.00,4877.00,1695.00,4655.00,2698.00,19376.00,326.00,372.00,4865.00,15825.00,0.00,0.00,0.00,0.00,36137.00,8170.00,104661.00
2002,平谷区,Pinggu Xian,110117,平谷区,302795,302795,145296,68989,12721.00,0.00,12721.00,7.00,1718.00,1201.00,0.00,315122.00,12464.00,12464.00,11205.000,0.00,0.00,13723.00,7845.00,501.00,346.00,5031.00,20750.00,266.00,606.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15311.00,12157.00,921.00,218850.00,93345.00,348225.00,45728.00,28281.00,3297.00,24950.00,14949.00,0.00,0.00,14949.00,0.00,0.00,14949.00,22423.00,10703.00,49950.00,0.00,0.00,4021.00,19535.00,4880.00,26398.00,938.00,1900.00,871.00,1824.00,375.00,1650.00,449.00,355.00,314.00,746.00,0.00,0.00,0.00,0.00,10567.00,16626.00,188228.00
2002,怀柔区,Huairou Xian,110116,怀柔区,180711,180711,80117,34793,11994.00,71.00,11923.00,52.00,2995.00,875.00,0.00,204406.00,9281.00,9281.00,8314.000,0.00,0.00,6528.00,3821.00,667.00,253.00,1787.00,20747.00,694.00,384.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24130.00,19957.00,7344.00,118157.00,68696.00,199718.00,32048.00,20220.00,31813.00,3532.00,2460.00,0.00,0.00,2460.00,0.00,0.00,2460.00,14795.00,10632.00,50262.00,132.00,745.00,2306.00,12297.00,5590.00,30698.00,1729.00,3588.00,1295.00,2935.00,188.00,921.00,0.00,0.00,1225.00,4470.00,0.00,0.00,0.00,0.00,1498.00,4392.00,33648.00
2002,密云县,Miyun Xian,110228,密云,314825,314825,149769,76039,14629.00,0.00,14629.00,0.00,5709.00,10324.00,0.00,346832.00,9017.00,9017.00,3882.000,0.00,0.00,7250.00,3684.00,786.00,199.00,2681.00,12412.00,158.00,207.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39043.00,29659.00,16096.00,169602.00,236425.00,350000.00,75092.00,33692.00,51238.00,20000.00,5500.00,0.00,0.00,5500.00,0.00,0.00,5500.00,22638.00,9434.00,34991.00,46.00,122.00,984.00,4689.00,3764.00,18744.00,1959.00,3575.00,1404.00,2546.00,871.00,3429.00,0.00,0.00,6399.00,16391.00,0.00,0.00,0.00,0.00,3692.00,20141.00,46303.00
2002,延庆县,Yanqing Xian,110229,延庆,208347,208347,95390,53439,24749.00,186.00,24563.00,150.00,919.00,3167.00,0.00,232785.00,11710.00,11710.00,5481.000,0.00,0.00,11721.00,7061.00,881.00,566.00,3213.00,6416.00,493.00,238.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35948.00,26625.00,20184.00,64192.00,96052.00,160402.00,28546.00,18149.00,41953.00,12540.00,2953.00,0.00,0.00,2953.00,0.00,0.00,2953.00,32292.00,20223.00,110761.00,234.00,1301.00,160.00,914.00,16765.00,101950.00,1590.00,2914.00,1368.00,2548.00,249.00,772.00,0.00,0.00,107.00,140.00,0.00,0.00,0.00,0.00,11307.00,4756.00,40239.00
2002,和平区,Heping Qu,120101,和平区,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2002,河东区,Hedong Qu,120102,河东区,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
