"","code","name"
"250",140402,"市城区"
"251",140411,"市郊区"
"252",140421,"长治县"
"253",140423,"襄垣县"
"254",140424,"屯留县"
"255",140425,"平顺县"
"256",140426,"黎城县"
"257",140427,"壶关县"
"258",140428,"长子县"
"259",140429,"武乡县"
"260",140430,"沁  县"
"261",140431,"沁源县"
"262",140481,"潞城县"
"263",140501,"市辖区"
"264",140502,"市城区"
"265",140521,"沁水县"
"266",140522,"阳城县"
"267",140524,"陵川县"
"268",140525,"泽州县"
"269",140581,"高平市"
"270",140601,"市辖区"
"271",140602,"朔城区"
"272",140603,"平鲁区"
"273",140621,"山阴县"
"274",140622,"应  县"
"275",140623,"右玉县"
"276",140624,"怀仁县"
"277",142201,"忻州市"
"278",142202,"原平市"
"279",142222,"定襄县"
"280",142223,"五台县"
"281",142225,"代  县"
"282",142226,"繁峙县"
"283",142227,"宁武县"
"284",142228,"静乐县"
"285",142229,"神池县"
"286",142230,"五寨县"
"287",142231,"岢岚县"
"288",142232,"河曲县"
"289",142233,"保德县"
"290",142234,"偏关县"
"291",142301,"孝义市"
"292",142302,"离石市"
"293",142303,"汾阳市"
"294",142322,"文水县"
"295",142323,"交城县"
"296",142325,"兴  县"
"297",142326,"临  县"
"298",142327,"柳林县"
"299",142328,"石楼县"
"300",142329,"岚  县"
"301",142330,"方山县"
"302",142332,"中阳县"
"303",142333,"交口县"
"304",142401,"榆次市"
"305",142402,"介休市"
"306",142421,"榆社县"
"307",142422,"左权县"
"308",142423,"和顺县"
"309",142424,"昔阳县"
"310",142427,"寿阳县"
"311",142429,"太谷县"
"312",142430,"祁  县"
"313",142431,"平遥县"
"314",142433,"灵石县"
"315",142601,"临汾市"
"316",142602,"侯马市"
"317",142603,"霍州市"
"318",142621,"曲沃县"
"319",142622,"翼城县"
"320",142623,"襄汾县"
"321",142625,"洪洞县"
"322",142627,"古  县"
"323",142628,"安泽县"
"324",142629,"浮山县"
"325",142630,"吉  县"
"326",142631,"乡宁县"
"327",142632,"蒲  县"
"328",142633,"大宁县"
"329",142634,"永和县"
"330",142635,"隰  县"
"331",142636,"汾西县"
"332",142701,"运城市"
"333",142702,"永济县"
"334",142703,"河津县"
"335",142723,"芮城县"
"336",142724,"临猗县"
"337",142725,"万荣县"
"338",142726,"新绛县"
"339",142727,"稷山县"
"340",142729,"闻喜县"
"341",142730,"夏  县"
"342",142731,"绛  县"
"343",142732,"平陆县"
"344",142733,"垣曲县"
"345",150101,"呼市辖"
"346",150102,"新城区"
"347",150103,"回民区"
"348",150104,"玉泉区"
"349",150105,"呼市郊"
"350",150121,"土默特左"
"351",150122,"托县"
"352",150123,"和林县"
"353",150124,"清水河"
"354",150125,"武川县"
"355",150201,"包头市"
"356",150202,"东河区"
"357",150203,"昆都伦"
"358",150204,"青山区"
"359",150205,"石拐矿"
"360",150206,"白云矿"
"361",150207,"包头郊"
"362",150221,"土默特右"
"363",150222,"固阳县"
"364",150223,"达茂旗"
"365",150301,"市辖区"
"366",150302,"海勃湾"
"367",150303,"海南区"
"368",150304,"乌达区"
"369",150401,"市辖区"
"370",150402,"红山区"
"371",150403,"元宝山"
"372",150404,"松山区"
"373",150421,"阿鲁旗"
"374",150422,"巴林左"
"375",150423,"巴林右"
"376",150424,"林西县"
"377",150425,"克什克"
"378",150426,"翁牛特"
"379",150428,"喀拉沁"
"380",150429,"宁城县"
"381",150430,"敖汉旗"
"382",152101,"海拉尔"
"383",152102,"满洲里"
"384",152103,"扎兰屯"
"385",152104,"牙克石"
"386",152105,"根河市"
"387",152106,"额尔古"
"388",152122,"阿荣旗"
"389",152123,"莫力达"
"390",152127,"鄂伦春"
"391",152128,"鄂温克"
"392",152129,"新巴右"
"393",152130,"新巴左"
"394",152131,"陈巴尔"
"395",152201,"乌兰浩"
"396",152202,"阿尔山"
"397",152221,"科右前"
"398",152222,"科右中"
"399",152223,"扎赉特"
"400",152224,"突泉县"
"401",152301,"通辽市"
"402",152302,"霍林河"
"403",152322,"科左中"
"404",152323,"科左后"
"405",152324,"开鲁县"
"406",152325,"库伦旗"
"407",152326,"奈曼旗"
"408",152327,"扎鲁特"
